latitude,longitude,Mineral,id,xcoord,ycoord,n,distance,feature_x,feature_y,nearest_x,nearest_y,left,bottom,right,top,Grid_id,ADM3
-25.743340000000000,28.234040000000000,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.085138213033455,28.234040000000000,-25.743340000000000,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.742059999999999,27.671659999999999,Platinum,"3",27.789786240000002,-25.675573450000002,"1",0.135551724103533,27.671659999999999,-25.742059999999999,27.789786240000002,-25.675573450000002,27.520000000000003,-25.760000000000002,27.680000000000000,-25.600000000000001,"3280",Local Municipality of Madibeng
-25.740069999999999,28.533169999999998,Diamond (Kimberline),"5",28.514228679999999,-25.756914360000000,"1",0.025347703390090,28.533169999999998,-25.740069999999999,28.514228679999999,-25.756914360000000,28.480000000000000,-25.760000000000002,28.640000000000001,-25.600000000000001,"3345",Nokeng tsa Taemane Local Municipality
-25.739870000000000,28.244389999999999,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.096050111074011,28.244389999999999,-25.739870000000000,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.739049999999999,27.274010000000001,Platinum,"3",27.306824610000000,-25.694637730000000,"1",0.055219999601637,27.274010000000001,-25.739049999999999,27.306824610000000,-25.694637730000000,27.200000000000003,-25.760000000000002,27.359999999999999,-25.600000000000001,"1307",Rustenburg Local Municipality
-25.738859999999999,27.893460000000001,Lead,"11",27.853920760000001,-25.814283419999999,"1",0.085158932498441,27.893460000000001,-25.738859999999999,27.853920760000001,-25.814283419999999,27.840000000000000,-25.760000000000002,28.000000000000000,-25.600000000000001,"3289",Local Municipality of Madibeng
-25.737890000000000,28.311010000000000,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.035487800988952,28.311010000000000,-25.737890000000000,28.346422170000000,-25.740205650000000,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.733300000000000,31.816700000000001,Coal,"20",31.828077250000000,-25.703166769999999,"1",0.032209522936477,31.816700000000001,-25.733300000000000,31.828077250000000,-25.703166769999999,31.680000000000000,-25.760000000000002,31.840000000000000,-25.600000000000001,"868",Nkomazi Local Municipality
-25.731700000000000,28.334700000000002,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.014482933108710,28.334700000000002,-25.731700000000000,28.346422170000000,-25.740205650000000,28.320000000000000,-25.760000000000002,28.480000000000000,-25.600000000000001,"3342",Nokeng tsa Taemane Local Municipality
-25.725000000000001,27.649999999999999,Platinum,"3",27.789786240000002,-25.675573450000002,"1",0.148267247692270,27.649999999999999,-25.725000000000001,27.789786240000002,-25.675573450000002,27.520000000000003,-25.760000000000002,27.680000000000000,-25.600000000000001,"3280",Local Municipality of Madibeng
-25.714130000000001,31.034810000000000,Gold,"1",31.077738170000000,-25.677479880000000,"1",0.056445186469382,31.034810000000000,-25.714130000000001,31.077738170000000,-25.677479880000000,30.880000000000003,-25.760000000000002,31.039999999999999,-25.600000000000001,"823",Mbombela Local Municipality
-25.712499999999999,28.148890000000002,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.055605189902832,28.148890000000002,-25.712499999999999,28.152546760000000,-25.767984819999999,28.000000000000000,-25.760000000000002,28.160000000000000,-25.600000000000001,"3292",City of Tshwane Metropolitan Municipalit
-25.712499999999999,28.281800000000000,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.070310937253257,28.281800000000000,-25.712499999999999,28.346422170000000,-25.740205650000000,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.712000000000000,28.360180000000000,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.031382106019695,28.360180000000000,-25.712000000000000,28.346422170000000,-25.740205650000000,28.320000000000000,-25.760000000000002,28.480000000000000,-25.600000000000001,"3342",Nokeng tsa Taemane Local Municipality
-25.711839999999999,28.199580000000001,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.073241835570459,28.199580000000001,-25.711839999999999,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.707200000000000,28.347200000000001,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.033014814120806,28.347200000000001,-25.707200000000000,28.346422170000000,-25.740205650000000,28.320000000000000,-25.760000000000002,28.480000000000000,-25.600000000000001,"3342",Nokeng tsa Taemane Local Municipality
-25.707049999999999,28.288300000000000,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.066914002812801,28.288300000000000,-25.707049999999999,28.346422170000000,-25.740205650000000,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.706980000000001,27.671759999999999,Platinum,"3",27.789786240000002,-25.675573450000002,"1",0.122133389011526,27.671759999999999,-25.706980000000001,27.789786240000002,-25.675573450000002,27.520000000000003,-25.760000000000002,27.680000000000000,-25.600000000000001,"3280",Local Municipality of Madibeng
-25.706900000000001,28.229399999999998,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.098172173923824,28.229399999999998,-25.706900000000001,28.152546760000000,-25.767984819999999,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
-25.705770000000001,25.612459999999999,Diamond (Alluvial),"4",25.660942219999999,-25.939931390000002,"1",0.239127752933157,25.612459999999999,-25.705770000000001,25.660942219999999,-25.939931390000002,25.600000000000001,-25.760000000000002,25.759999999999998,-25.600000000000001,"1314",Mafikeng Local Municipality
-25.704840000000001,28.309429999999999,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.051177630281515,28.309429999999999,-25.704840000000001,28.346422170000000,-25.740205650000000,28.160000000000000,-25.760000000000002,28.320000000000000,-25.600000000000001,"3339",Nokeng tsa Taemane Local Municipality
